pj1,pj2,puntuacion,tiempo,fecha_hora,golpes_pj1,golpes_pj2,movimiento_final,combo_finish,ganador
"Ryu","Chun-Li",3500,120.5,"2023-06-05 14:30:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Spinning Bird Kick, Lightning Legs]","Shinku Hadoken",1,"Ryu"
"Guile","Ken",4200,90.2,"2023-06-05 15:45:00","[Sonic Boom, Flash Kick]","[Shoryuken, Hadouken]","Sonic Boom",0,"Guile"
"Blanka","Dhalsim",2900,150.7,"2023-06-05 16:20:00","[Electric Thunder, Rolling Attack]","[Yoga Fire, Yoga Flame]","Electric Thunder",0,"Blanka"
"Cammy","Bison",3800,110.9,"2023-06-05 17:05:00","[Spiral Arrow, Cannon Spike]","[Psycho Crusher, Scissor Kick]","Cammy's Cannon Spike",1,"Cammy"
"Ryu","Guile",3200,135.2,"2023-06-06 09:15:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Sonic Boom, Flash Kick]","Shinku Hadoken",1,"Ryu"
"Dhalsim","Bison",4200,80.5,"2023-06-06 10:30:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Psycho Crusher, Scissor Kick]","Yoga Fire",0,"Dhalsim"
"Chun-Li","Ken",3900,95.8,"2023-06-06 11:45:00","[Spinning Bird Kick, Lightning Legs]","[Shoryuken, Hadouken]","Kikosho",1,"Chun-Li"
"Zangief","Ryu",2800,180.3,"2023-06-06 13:00:00","[Spinning Piledriver, Double Lariat]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Final Atomic Buster",1,"Zangief"
"Ken","Blanka",3100,160.7,"2023-06-06 14:15:00","[Shoryuken, Hadouken]","[Electric Thunder, Rolling Attack]","Shinryuken",1,"Ken"
"Bison","Guile",4000,105.9,"2023-06-06 15:30:00","[Psycho Crusher, Scissor Kick]","[Sonic Boom, Flash Kick]","Ultimate Psycho Crusher",1,"Bison"
"Chun-Li","Dhalsim",3700,125.2,"2023-06-06 16:45:00","[Spinning Bird Kick, Lightning Legs]","[Yoga Fire, Yoga Flame, Yoga Teleport]","Hazanshu",1,"Chun-Li"
"Ken","Ryu",3200,105.4,"2023-06-07 09:30:00","[Shoryuken, Hadouken]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Shinryuken",1,"Ken"
"Dhalsim","Blanka",3800,90.1,"2023-06-07 10:45:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Electric Thunder, Rolling Attack]","Yoga Inferno",1,"Dhalsim"
"Chun-Li","Guile",4200,75.6,"2023-06-07 12:00:00","[Spinning Bird Kick, Lightning Legs]","[Sonic Boom, Flash Kick]","Kikosho",1,"Chun-Li"
"Bison","Cammy",3100,130.2,"2023-06-07 13:15:00","[Psycho Crusher, Scissor Kick]","[Spiral Arrow, Cannon Spike]","Cannon Spike",0,"Cammy"
"Ryu","Blanka",2900,165.3,"2023-06-07 14:30:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Electric Thunder, Rolling Attack]","Metsu Shoryuken",1,"Ryu"
"Zangief","Ken",3600,95.7,"2023-06-07 15:45:00","[Spinning Piledriver, Double Lariat]","[Shoryuken, Hadouken]","Final Atomic Buster",1,"Zangief"
"Guile","Chun-Li",4000,110.8,"2023-06-07 17:00:00","[Sonic Boom, Flash Kick]","[Spinning Bird Kick, Lightning Legs]","Flash Kick",0,"Guile"
"Dhalsim","Ryu",3700,120.5,"2023-06-07 18:15:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Yoga Inferno",1,"Dhalsim"
"Bison","Blanka",3200,100.3,"2023-06-07 19:30:00","[Psycho Crusher, Scissor Kick]","[Electric Thunder, Rolling Attack]","Ultimate Psycho Crusher",1,"Bison"
"Cammy","Ken",3900,85.6,"2023-06-07 20:45:00","[Spiral Arrow, Cannon Spike]","[Shoryuken, Hadouken]","Cammy's Cannon Spike",1,"Cammy"
"Chun-Li","Ryu",4300,80.2,"2023-06-09 09:30:00","[Spinning Bird Kick, Lightning Legs]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Hoyokusen",1,"Chun-Li"
"Bison","Guile",4100,95.9,"2023-06-09 10:45:00","[Psycho Crusher, Scissor Kick]","[Sonic Boom, Flash Kick]","Sonic Boom",0,"Guile"
"Ken","Blanka",3600,85.3,"2023-06-09 12:00:00","[Shoryuken, Hadouken]","[Electric Thunder, Rolling Attack]","Shinryuken",1,"Ken"
"Ryu","Dhalsim",4000,110.8,"2023-06-09 13:15:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Yoga Fire, Yoga Flame, Yoga Teleport]","Metsu Shoryuken",1,"Ryu"
"Zangief","Cammy",3200,95.7,"2023-06-09 14:30:00","[Spinning Piledriver, Double Lariat]","[Spiral Arrow, Cannon Spike]","Final Atomic Buster",1,"Zangief"
"Blanka","Ken",3700,100.3,"2023-06-09 15:45:00","[Electric Thunder, Rolling Attack]","[Shoryuken, Hadouken]","Electric Thunder",1,"Blanka"
"Dhalsim","Guile",3800,120.6,"2023-06-09 17:00:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Sonic Boom, Flash Kick]","Yoga Inferno",1,"Dhalsim"
"Bison","Ryu",4000,105.1,"2023-06-09 18:15:00","[Psycho Crusher, Scissor Kick]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Ultimate Psycho Crusher",1,"Bison"
"Cammy","Chun-Li",4100,95.6,"2023-06-09 19:30:00","[Spiral Arrow, Cannon Spike]","[Spinning Bird Kick, Lightning Legs]","Lightning Legs",0,"Chun-Li"
"Guile","Blanka",3500,115.9,"2023-06-09 20:45:00","[Sonic Boom, Flash Kick]","[Electric Thunder, Rolling Attack]","Sonic Boom",0,"Guile"
"Ryu","Ken",3200,90.2,"2023-06-10 09:30:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Shoryuken, Hadouken]","Metsu Shoryuken",1,"Ryu"
"Chun-Li","Blanka",3900,85.9,"2023-06-10 10:45:00","[Spinning Bird Kick, Lightning Legs]","[Electric Thunder, Rolling Attack]","Hoyokusen",1,"Chun-Li"
"Bison","Guile",4200,70.3,"2023-06-10 12:00:00","[Psycho Crusher, Scissor Kick]","[Sonic Boom, Flash Kick]","Sonic Boom",0,"Guile"
"Ken","Ryu",3100,120.8,"2023-06-10 13:15:00","[Shoryuken, Hadouken]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Shinryuken",1,"Ken"
"Zangief","Blanka",2900,160.5,"2023-06-10 14:30:00","[Spinning Piledriver, Double Lariat]","[Electric Thunder, Rolling Attack]","Final Atomic Buster",1,"Zangief"
"Guile","Dhalsim",3600,95.4,"2023-06-10 15:45:00","[Sonic Boom, Flash Kick]","[Yoga Fire, Yoga Flame, Yoga Teleport]","Somersault Strike",1,"Guile"
"Dhalsim","Chun-Li",4000,105.7,"2023-06-10 17:00:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Spinning Bird Kick, Lightning Legs]","Yoga Inferno",1,"Dhalsim"
"Bison","Cammy",3800,110.3,"2023-06-10 18:15:00","[Psycho Crusher, Scissor Kick]","[Spiral Arrow, Cannon Spike]","Ultimate Psycho Crusher",1,"Bison"
"Blanka","Ryu",3200,100.1,"2023-06-10 19:30:00","[Electric Thunder, Rolling Attack]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Electric Thunder",1,"Blanka"
"Cammy","Ken",3700,85.6,"2023-06-10 20:45:00","[Spiral Arrow, Cannon Spike]","[Shoryuken, Hadouken]","Cammy's Cannon Spike",1,"Cammy"
"Dhalsim","Blanka",4200,70.3,"2023-06-11 09:30:00","[Yoga Fire, Yoga Flame, Yoga Teleport]","[Electric Thunder, Rolling Attack]","Yoga Inferno",1,"Dhalsim"
"Chun-Li","Guile",4000,105.8,"2023-06-11 10:45:00","[Spinning Bird Kick, Lightning Legs]","[Sonic Boom, Flash Kick]","Kikosho",1,"Chun-Li"
"Bison","Ken",3300,95.7,"2023-06-11 12:00:00","[Psycho Crusher, Scissor Kick]","[Shoryuken, Hadouken]","Hadouken",0,"Ken"
"Ryu","Blanka",3100,120.4,"2023-06-11 13:15:00","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","[Electric Thunder, Rolling Attack]","Metsu Shoryuken",1,"Ryu"
"Zangief","Guile",3700,110.9,"2023-06-11 14:30:00","[Spinning Piledriver, Double Lariat]","[Sonic Boom, Flash Kick]","Final Atomic Buster",1,"Zangief"
"Guile","Chun-Li",4000,105.6,"2023-06-11 15:45:00","[Sonic Boom, Flash Kick]","[Spinning Bird Kick, Lightning Legs]","Lightning Legs",0,"Chun-Li"
"Blanka","Ken",3600,90.7,"2023-06-11 17:00:00","[Electric Thunder, Rolling Attack]","[Shoryuken, Hadouken]","Electric Thunder",1,"Blanka"
"Cammy","Ryu",3900,85.3,"2023-06-11 18:15:00","[Spiral Arrow, Cannon Spike]","[Hadouken, Shoryuken, Tatsumaki Senpukyaku]","Cammy's Cannon Spike",1,"Cammy"